data,hora,resultado,lucro,cicloRec
21/11/2020,6:33:0,loss,-2,0,0
21/11/2020,6:35:0,loss,-2,0,0
21/11/2020,6:38:0,loss,-2,0,0
21/11/2020,6:40:0,win,1,56,0
21/11/2020,6:46:0,win,1,56,0
21/11/2020,6:48:0,loss,-2,0,0
21/11/2020,7:3:32,win,1,56,0
21/11/2020,7:33:52,win,1.56,0
21/11/2020,7:37:0,win,1.56,0
21/11/2020,7:39:0,win,1.56,0
21/11/2020,7:54:0,loss,-2.0,0
21/11/2020,7:56:0,win,1.56,0
21/11/2020,8:7:0,win,1.56,0
21/11/2020,8:12:0,win,1.56,0
21/11/2020,8:17:0,loss,-2.0,0
21/11/2020,8:19:0,loss,-2.0,0
21/11/2020,8:33:0,loss,-2.0,0
21/11/2020,8:35:0,loss,-2.0,0
21/11/2020,8:37:0,loss,-2.0,0
21/11/2020,8:39:0,loss,-2.0,0
21/11/2020,8:41:0,win,1.56,0
21/11/2020,8:47:0,loss,-2.0,0
21/11/2020,8:49:0,win,1.56,0
21/11/2020,8:51:0,loss,-2.0,0
21/11/2020,8:56:0,win,1.56,0
21/11/2020,9:4:0,loss,-2.0,0
21/11/2020,9:6:0,loss,-2.0,0
21/11/2020,12:34:0,loss,-2.0,0
21/11/2020,12:37:0,win,1.56,0
21/11/2020,12:43:0,loss,-2.0,0
21/11/2020,12:45:0,win,1.56,0
21/11/2020,12:50:0,win,1.56,0
21/11/2020,12:52:0,loss,-2.0,0
21/11/2020,12:54:0,loss,-2.0,0
21/11/2020,12:56:0,win,1.56,0
21/11/2020,12:58:0,loss,-2.0,0
21/11/2020,13:0:0,win,1.56,0
21/11/2020,13:3:0,win,1.56,0
21/11/2020,13:5:0,loss,-2.0,0
21/11/2020,13:8:0,win,1.56,0
21/11/2020,13:14:0,loss,-2.0,0
21/11/2020,13:22:0,win,1.56,0
21/11/2020,13:27:0,loss,-2.0,0
21/11/2020,13:33:0,win,1.56,0
21/11/2020,13:44:0,loss,-2.0,0
21/11/2020,13:46:0,loss,-2.0,0
21/11/2020,13:48:0,loss,-2.0,0
21/11/2020,13:50:0,loss,-2.0,0
21/11/2020,13:53:0,loss,-2.0,0
21/11/2020,13:55:0,loss,-2.0,0
21/11/2020,14:4:0,loss,-2.0,0
21/11/2020,14:6:0,win,1.56,0
21/11/2020,14:9:0,win,1.56,0
21/11/2020,14:13:0,loss,-2.0,0
21/11/2020,14:15:0,win,1.56,0
21/11/2020,14:22:0,win,1.56,0
21/11/2020,14:24:0,loss,-2.0,0
